sex,height,leg,chest,waist,hip,weight,age,arm,shoulder
1,173.8,82.2,27.4,25,32.7,60,16,62.1,39.6
1,170.7,82.9,28.7,25.8,31.2,58.2,16,59.9,38
1,175.4,84.8,28.6,24.5,31.4,58,16,60.5,39
1,185.2,89.5,29,24.4,31.8,63.2,16,64,41
1,161.5,76.4,27.4,24.8,30.2,52.2,16,55.6,37.2
1,173.5,82.3,30.7,28.6,33.8,75,16,59.8,39.1
1,171.8,80,30.5,29.6,33.4,73.8,16,61.3,39.3
1,167.9,81.4,30.9,30.2,36,83.3,16,60.6,40.7
1,173,81.8,29,27.8,33,67.7,16,59.8,39.5
1,172.1,80.4,28.2,24.8,32.8,60.1,16,57.3,39.7
1,173.6,80.4,31.7,30.9,35.8,79.9,16,61.4,39.2
1,171.4,79.8,30.8,27.6,33.9,65.9,15,60.2,39.1
1,171,78.5,27.2,23.7,30.7,57.6,16,56.3,37.8
1,175.4,83.1,32.2,29.9,34.2,77.5,16,63.1,40.3
1,179.5,83.7,27.9,24.9,32.4,57.3,16,60.6,40.3
1,169,79.3,28.4,25.1,31.4,53.4,16,56.9,37.7
1,161.4,76.3,29.4,26.7,31.2,55.9,15,56.5,37.4
1,175.5,85.5,30.3,29.7,34.2,74.3,16,61.5,39.8
1,175.6,79.5,26.7,23.7,30.7,55.6,16,59,39
1,174.9,84,29.4,27.1,33,63.4,15,60.9,42.1
1,181.1,85.6,34.9,36.2,40.9,111.4,16,64.7,50
1,175.6,80.8,30.3,28.6,34.8,71.3,16,61,42
1,171.1,80,30.7,29.2,33.2,66.7,16,59.5,42.8
1,172.4,79.7,31.7,27,34.1,72.4,16,60.8,40.2
1,171,78.7,28.7,23.1,30.5,57.5,16,57.6,37.7
1,170,81.3,29.1,26.5,31.7,61.7,17,59.5,39.9
1,172.6,83.5,28,24.9,31.4,61.1,17,60,40
1,165.1,75.4,27.6,23.5,30.3,47.6,17,55,37.2
1,171.1,84.6,27.4,25.8,32.2,59.3,16,59.2,39.8
1,172.5,81.4,30.5,31.6,35.7,78.3,17,61.5,40.4
1,182.8,86.7,28.7,27.5,35.2,72.8,17,60.9,39
1,172.6,79,26.4,24.4,31.6,54,17,58,37.1
1,171,75.3,27.1,25.3,30.9,55.5,17,57,38.6
1,164.4,78.2,27.8,25.4,30.8,57.8,17,58.5,38.7
1,175,82.7,27.4,22.4,30.9,52.5,17,60,39.1
1,174.6,84.7,27.5,25,31.4,57.1,17,61.3,40.3
1,166.1,78.8,29.1,23.9,30.6,56,17,59,39.8
1,173,79.6,29.7,30.2,36.6,79.6,17,61,42.2
1,174,83.3,29.8,28.2,33.2,66.7,17,60.5,39.7
2,162.9,78.3,25.8,24.7,30.9,56.1,16,57.4,36.2
2,164.4,79.9,25.6,22.2,31.1,47.2,16,59.2,36
2,154.2,71.7,25.9,22.1,29.5,50.7,16,52.3,34.8
2,164.4,76.3,24.8,20.8,29.9,44.2,16,55,35
2,157.5,75.1,26.4,23.1,31.9,51,16,54.4,35.5
2,156.4,73.4,25.4,22.5,29,45.2,16,55.2,35.5
2,163.4,75.4,27.9,25.5,33.1,60.9,16,56.1,38.4
2,166,77.3,28.8,26.1,33.6,59.8,17,58.3,37
2,157.4,73.1,25.9,23.9,31.6,49.7,16,54.5,36.3
2,161.3,75.5,26.4,22.7,32.5,49.4,16,56.1,36.6
2,160.4,77.1,25.4,22.5,30.4,45.4,16,56.8,37
2,159.4,72.6,26,22.4,30.5,46.1,15,54.5,35.7
2,161,74.8,26,25.8,32.3,56.2,16,57.6,35.2
2,163.4,77.4,30.3,29.9,37.6,80.8,16,58.8,37.3
2,151.2,69.5,27.4,22.7,31.9,50.1,16,51.5,34.4
2,154.1,73.8,25.4,23,28.5,43.3,16,53,33.8
2,159.4,73.8,26.3,25.1,33.2,52.4,16,56.7,35.1
2,168.1,76.8,29,27,35.6,64.1,16,57.8,37.7
2,164.4,76.9,26.8,24.8,35.2,64,16,58.3,36.5
2,158.5,75.8,25.8,24.1,31.6,48.7,16,56,34.9
2,164.3,77.4,28,22.8,33,55.4,16,56.5,37.1
2,163.3,78.3,26.7,23.7,31.6,49.7,16,56,35.5
2,155.6,76.2,27.9,27.9,36,65.3,16,58,37.2
2,163,73.5,27.3,24.4,32.8,54.6,16,55.6,36
2,165.1,79.7,29.3,25.4,33.5,64.1,16,59.5,39.1
2,158.1,71.2,25.4,22.9,30.9,47.9,15,53.1,35
2,164.6,76.4,27.2,24.5,33.3,57.3,16,55.5,36.4
2,166.6,79.7,26.2,23.4,31.6,58.1,16,60.1,36
2,162.1,74.6,25.6,22.5,32.4,53.8,16,56.9,36.8
2,157.6,72.1,25.8,20.9,32,47.8,16,56.1,35
2,166,78.3,26.2,25.3,33.5,62.2,16,56.2,36.6
2,160.5,79.1,27.3,27.3,34.4,62.4,16,58,36.5
2,152,67.7,29.3,24.8,32.9,54,15,52,37.5
1,170.6,82.3,28.7,26.4,31.7,55,16,60.4,39
1,177,84.4,27.1,25.2,31,61,16,60.5,36.9
1,162.7,75.4,26.5,21.4,29.8,48.9,16,56.6,38.2
1,177,80.4,30.6,33.4,35.2,86.6,16,62.9,38.9
1,168.3,79.7,28.7,24.8,30.8,55.3,16,60.5,40.4
1,163,73.5,29.3,28.5,33,68,16,59.4,41.4
1,164.3,77.5,26.3,24.5,30.2,53.7,16,57,37
1,180.5,86,30.2,28.3,33.4,76.6,16,64.4,41.3
1,178.9,85.7,29.5,28,33.6,71.9,16,63.4,40.4
1,179,83.8,28.8,26.1,33.8,62.3,16,60.5,42
1,169.7,81.2,27.9,25,31.8,58.3,15,57.2,37.5
1,162.7,74.6,27.3,24.7,30.7,51,16,56.5,37.5
1,170.6,80.3,27.9,24.9,31.6,58.4,16,60.4,39
1,180.8,87.6,29.7,29.7,33.7,75.3,16,64.7,42
2,157.5,70.4,26.7,26.1,36.3,60.1,16,55.4,34.2
2,155.5,72.8,26.7,25.5,33.2,53.5,17,54.1,35.5
2,164.6,77.7,26,24.9,31,57.9,17,56,36
2,154.2,70.1,27.4,25.9,30.9,51.8,17,54,35.9
2,160.4,73.1,28.4,27.4,34.4,59.2,17,57,38.8
2,159.9,73.7,27.1,25,31.4,55.1,17,54.6,36.5
2,164,78.5,26.1,21.8,31.4,45.1,17,56.1,35.8
2,157,73.5,24.7,21.9,30.4,44.2,17,54.5,36.4
2,169,80.5,27.2,24.6,32,53.2,17,56.5,37.5
2,163.4,74.4,28.2,26.6,32.9,55,17,56.5,39
2,166.4,75.5,27.7,26,34.1,54.6,17,56.4,38
2,160.5,72.8,28.5,25.9,35.4,63.3,17,55.9,36.8
2,160.9,76.5,25.7,24.2,32.1,51.5,17,56.2,35.3
2,158.6,68.3,31,28.3,36.4,78.4,17,54.5,39.6
2,157.5,76.2,25.6,25,31.7,51,17,55.6,35.2
2,162.6,75.6,26.6,25.3,34.3,54.3,17,57.4,37
2,159.8,74.4,27,24.3,31.5,49.2,16,56.5,37.5
2,162.1,74.4,27.4,28,36.5,71.8,17,57.2,36.8
2,162.1,76.1,26.3,24.3,31.6,53.5,17,55.9,36.8
2,159.4,75.7,23.9,23.4,32.8,44.6,17,56,35.1
2,168,79.6,26.8,25.4,33.3,56.3,17,58.4,37
2,163.9,77.6,27.6,25.6,32.1,54.5,17,57.1,36.8
2,159.7,74,25.7,25.9,31.2,52.3,17,53.1,35.3
2,158.3,74.3,24.8,21.9,30.6,47.7,17,56.6,35.8
2,162.8,77.5,29.4,26.8,31.2,56.8,17,58.8,38
2,154.5,72.5,24.6,23.5,28.9,45.1,17,54,32.5
2,151.8,68.4,26.1,23.5,29.8,49.4,17,50.5,36
2,162.1,71.6,27.1,24.4,32.3,59.2,17,55,37.5
2,168.7,77.4,28.4,24.9,34.5,59.6,17,59.6,35.8
2,160.7,72.9,28.4,26.1,33.4,61.2,16,55.5,37.5
2,156.9,72.7,24.6,21.8,29.4,41.4,17,53.5,34.9
2,156,74.5,27.4,25.1,30.6,50.1,16,53.5,34.5
2,158.4,73.7,26.5,24,31.9,49.5,17,54.5,35.8
2,158,74.8,26.6,24.7,31.7,49.6,17,54.5,34.9
2,152.7,71.1,25.6,22.7,31.1,49.2,17,53.9,35
2,165.1,76.7,27.8,26,33,61.8,17,56,37.2
2,160.5,78.4,25.1,25.4,30.4,49.2,17,59,36.2
2,166.5,78.6,28.3,27.2,34,63.5,17,59,36.2
2,155.8,71.8,25.6,23.2,29.8,49.7,17,53.8,35.3
2,156.1,69.9,26.7,27,32.6,57.9,16,55.6,35.6
2,158.3,72.2,25.7,24.6,33.2,56.6,16,53,35.5
2,156.1,70.5,27.3,23.9,32.2,52.5,16,55.1,36.2
2,160,70.7,27.7,25.7,34.6,61.4,16,56.3,37.1
1,178.3,86.3,31.1,30.5,35.3,76.3,17,63.5,38.6
1,180.1,83.5,31.8,30.5,35.5,80.4,17,62.2,40.2
1,183,85.7,29.3,26.5,32.4,68.4,17,63.2,41.9
1,174.5,81.6,29.9,25.9,32.2,61.4,17,64.5,41.7
1,171.7,80.5,30.1,30.1,35,72.3,17,58.6,39.8
1,176,86.4,29.9,24.3,32.1,62.6,17,62.5,41.6
1,172.5,77,31.3,28.9,33.9,72.1,17,57.2,40.7
1,170.2,80.5,29.4,25.2,31.9,59.8,17,59.5,40.1
1,175,82.2,27.9,26.1,32.1,64.8,16,58,39.4
1,167.8,74.9,30,25.2,33.5,66,17,56.7,40.8
1,169.6,79.6,28.5,24.9,33.4,61.3,17,58.3,41.5
1,178.8,86,27.8,24.5,31.2,60.2,17,61.5,41.1
1,170.5,76.8,27.5,22.5,30.6,53.2,17,57.5,40.1
1,174.4,80.8,28,23.5,30.9,59.3,17,59.2,40.2
1,173.9,84.6,28,28.4,34.6,67,17,60.6,37.7
1,161,79.4,25.8,23.6,29.9,46.8,17,56.3,35.4
1,185.1,89,33,34.3,37.3,101.7,17,66.2,41
1,169,79.3,26.3,24.8,30.5,52.1,17,58.3,36.2
1,180.5,88.5,28.9,25.8,32.7,67.8,17,63.5,38.7
1,172.5,81,29.6,24.8,31.9,65.3,17,60.2,41.3
1,176.7,80.9,28.6,26.8,33.7,70.1,16,60.9,41.5
1,168.5,79.2,28,24.8,31.6,53,17,56.1,38.8
1,173.5,79.4,28.6,24.2,33,57.7,17,58.2,40.7
1,174.5,82.2,27,23,29.9,50.7,17,61,38.6
1,171.5,79.5,29.9,23.1,32.2,63.4,17,58,40
1,169.4,80.5,28.3,26.8,30.9,59.9,17,60.5,40.4
1,173,78.5,28.2,23.8,30.7,56.2,18,58,40
1,186.5,92.7,29.3,25.4,34.5,67.3,16,65.2,39.4
1,174.4,83.9,27.4,22.8,30.4,50.8,17,58.7,38.2
1,174.4,81.5,31.8,27.1,34.1,68.8,17,60.8,42.4
1,184.6,92.5,30.3,24.8,34.2,65.5,17,64.5,39.6
1,160.7,77.9,26.7,22.3,28.8,42.6,16,56.7,37.2
1,179.5,85.1,28.5,22.9,32.6,59.6,17,60.5,39.3
1,173.5,86.5,29,27.7,33.3,61.2,17,61.7,40.8
1,173.3,78.6,29.7,28.7,34.9,71.7,17,58.1,40.2
2,152.5,67.3,26.7,24.8,30.8,53.4,46,51.4,37
2,157.6,69.1,27.9,27.4,34.7,58.8,55,54.7,36.8
2,147.1,67.9,28.8,27.9,33.9,54.8,55,51.7,36.5
2,155.2,71.4,26.6,23.9,31.5,48.3,43,51,37
2,159.2,73.2,29.9,25.7,33.7,57.5,56,57,39.6
2,158.4,75.8,26.9,26.7,28.8,51.4,51,57.5,35.2
2,152.6,70.4,27.3,27.1,30.2,55.1,66,53.5,35.5
2,156.3,70.9,29.3,30.6,32.8,65.6,59,55.6,38.8
2,154.6,72.2,27.6,24.8,31.1,49.4,49,53.6,35.5
2,164.1,77.9,28.2,28.7,34.6,60.1,45,58,36.7
2,149.8,66.5,26.6,28.2,31.3,58.9,52,50.2,35.1
2,156.7,71.6,27.5,27.2,32.3,57.5,38,54.5,36.5
2,147.4,65.2,25.4,29,33.3,51.8,68,54.8,33.5
2,155.8,70.9,28.3,28.9,32.7,61.9,55,55,36.7
2,159.9,72.1,29.4,30,33.4,61.7,52,55.6,36.8
2,158.4,71,29.5,28.4,32.7,59.2,47,56.7,37.4
2,152.3,68.1,25.5,24.2,29.6,48.2,56,52.3,33.4
2,153.6,67.1,29.9,33,34.4,72.1,52,53.5,38.7
2,151.4,68.7,28,30.9,32.5,59,66,52.3,35.9
2,145.5,62.1,29.3,29.8,33,63,51,50.3,37.1
2,160.6,75.1,29,27.7,33,60,50,55.7,37.5
2,164.2,75.8,30.1,31.4,35.7,73.2,45,59.1,38.5
2,156.5,70.2,30.5,30.6,34.2,73.8,40,57,38.5
2,156.8,72.8,25.8,25.5,31.4,52.4,40,55,35.8
2,143.6,66.1,27.4,28.6,32.1,51.2,58,51.7,35.4
2,164.3,75.5,26.6,24.9,34,56.7,52,56.3,36.7
2,157.9,72.6,29.6,30.1,37.6,64.9,22,57.2,36.3
2,160.7,73.5,27,28.9,32.8,57.3,51,56.5,36
2,163.7,73.3,32.6,32,34.8,78.5,47,57.1,38.3
2,164.9,78.5,30.2,30.9,33.7,70.5,53,57,38.6
2,153.8,68.7,27.1,27.4,31.8,58.3,60,51.5,37.2
2,161.1,74.4,27.9,24.9,33.4,58.7,19,54.8,36.9
2,153.5,72.4,25.9,25.9,31.7,49.2,44,53.7,36.2
2,158.7,75.2,26,24.9,31.4,52.1,52,54.5,35.4
2,157.2,72.1,28.1,24.7,30.4,57.3,43,54.3,36.4
2,154.8,71.7,26.3,26.1,32.2,53.6,35,54,34.7
2,161,74.6,27.3,22.9,33,53.7,43,55,37.4
2,157.5,72.6,29.4,27.5,33.7,62.8,49,54.5,38
2,158,75.6,28.7,26.8,32.3,55.7,35,58,36.3
2,147.3,67.7,26.3,24.5,31.2,46.7,57,52,35.5
2,155.8,71.6,26.1,24.8,30.3,52.5,38,53,34.6
2,166.4,78,25.9,25,32,54.6,36,57.5,36.5
2,158,69.4,25.8,24.5,31.2,52.2,47,52.1,35.5
2,160,70.8,27.6,25.7,34.2,55.6,33,52,36
2,159.4,73.5,27.4,27,32.1,60.5,45,53.7,35.4
2,159.3,73.4,28.1,28.2,33.7,59.5,41,55.4,36.4
2,157,72.1,26.4,24.9,30.6,48.4,47,53.4,36.4
2,145.8,67.9,26.7,28.9,31,50.5,57,53,34.8
2,161.2,73,30.4,30.5,35.5,68.9,49,55.8,36.5
2,148.8,71.3,27.4,29.2,33.2,55.8,58,55.6,34.6
2,150.7,66.7,25.4,23.7,30.3,47.4,53,49,34
2,155.8,70.1,30.1,27.8,32.1,59.8,45,54,36.6
2,153.4,68,27.2,24.6,30.1,47.6,36,51,34.8
2,151.4,67.4,28.4,31.7,33.8,66.3,53,54.4,37
2,162.4,74.4,26.8,30.5,33.9,68.8,37,58.5,36.8
2,154.2,69.6,25.6,24.8,33.2,52.5,46,53.5,35.5
2,148.5,68.2,26.1,27.6,33.1,52.7,59,53,35.1
2,154.1,71,30.5,31.5,33.4,73.4,56,53.5,38.4
2,160.4,73.1,28.2,27.5,33.5,61,44,56.7,36
2,150.2,72.1,27.4,27.4,29.7,51.4,68,56,36
2,156.7,70.3,26.9,27.5,33.7,55.9,61,56.9,36.2
2,146.4,68,29,34.2,33.7,68.4,62,55.6,36.2
2,159.3,70.7,28.9,27.4,36.5,70.1,20,55.5,38.7
2,157.1,73.4,26.4,24.8,32,50.4,30,54.4,35.5
2,157.8,77.4,26.4,26.2,32.1,55.5,16,59,35.5
2,150.5,67.7,28,30.3,33.1,59,63,51.2,35.2
2,162.8,73.5,25.4,23.4,31.8,51.3,35,53.5,34.2
2,158.4,71.4,29.8,34,36.7,79.7,62,56.9,38.6
2,146.9,66.1,27,26.1,31.3,53.5,51,53,36.1
2,159.5,72.5,28.1,28.8,33.5,63.4,49,54.5,36.3
2,160,74.2,26.5,23.8,31.9,53.8,20,53.3,36
2,161.4,78.9,25.4,22.1,30.3,42.3,20,55.5,34.5
2,154.4,69.7,28,27.6,31.7,62.2,46,53.1,36
2,167.8,80.4,27.6,28.8,33.3,60.6,33,59,37.5
2,165.4,76.1,29.4,29.8,35.4,75,34,57,38.6
2,154.5,72.2,27.5,29.2,31.8,57.1,67,54,36.5
2,153.3,69.1,30.8,30.9,33.6,65.4,59,52.2,37.3
2,163,75.2,27.2,24.8,33.2,53.5,36,57.2,34.7
2,157.2,73.7,28,28.1,33.5,61.1,37,54.7,36.3
2,155.6,71.1,28.1,28.3,32.5,56.5,60,54.5,34.7
2,167.5,78.7,27.2,28.1,34.6,59.5,52,58.7,35.8
2,163.4,76.9,29,27.9,32.4,58.4,59,60,37.7
2,158,70.8,28.9,26.7,32.7,62.2,55,54,34.7
2,157.5,71.5,28.5,27.7,33.7,65.4,56,55.5,37.5
2,154.4,69.5,27.4,29.9,32.8,56.3,62,55.5,35.4
2,159.6,73.5,28,26.5,31.8,54.7,24,55.5,36.3
2,151.4,65.8,27.4,26.8,31,57,46,50,35.7
2,140.1,64.7,27.2,32.7,35,61.5,67,53,32.2
2,160,72.3,27.3,28.5,34.1,58.9,26,53.6,34
2,165,76.5,26.7,24.9,31.5,53.8,38,56.4,37.3
2,169,80.3,29.6,30.2,34.5,68.1,26,60,38.2
2,154.5,70.1,29.3,30.2,32.2,61.4,54,52.5,37
2,166,78.7,29.6,28.7,34.8,64.1,31,58,37.8
2,163.8,75,28.3,26.6,29.9,54,37,55.4,37.5
2,156.6,70.1,28,26,30.8,50.2,33,53.3,37.2
2,158.6,70.6,28.6,26.1,31.5,56.4,35,55.9,36.6
2,148.7,67.4,28.6,29.3,28.8,55.3,57,53.3,36.3
2,158.8,73.7,28.5,27.8,33.8,59.8,56,57.6,35.8
2,166.8,75.8,26.9,25.6,33.4,64.1,33,58,36.4
2,151.8,67,26.5,25.7,30.6,53.9,52,51,33.2
2,152.9,67.4,29.9,31.7,32.5,62.9,65,54.4,36.3
2,158,70.9,26.4,23.5,31.1,46.6,36,52.5,35.3
2,160,70.2,29.6,26.3,33,57.4,49,53.8,37.3
2,156.2,74,27.2,26.4,32.4,52.7,49,56.1,35.9
2,151.8,67.7,29.8,28,31.5,55.8,55,52,36
2,145.6,66.9,27.5,25.9,30.6,51.9,55,49.7,35.1
2,153.9,68.5,28.7,26.8,31.9,53.5,52,52.5,34.3
2,153.6,68,29.6,28.9,35.4,61.3,60,55.2,37.4
2,147,65.7,28,30.2,31.1,58.7,57,52.6,35
2,150.5,68.9,26.5,25.4,31,49,45,53.2,34.5
2,147.9,67.6,26.4,28.2,31.3,50.6,67,53,34.2
2,151.9,68.4,27.1,25.5,30.9,43.9,61,52,36.4
2,148.2,66.3,29.4,31,31.6,55.7,66,53.3,38.5
2,157.3,68.8,30,29.6,31.8,69.7,47,53.6,38.2
2,157.1,69.6,30.3,28.9,31.2,66.3,44,55.5,36.5
2,154.6,69.8,27.6,24.7,30.5,50.1,50,52.5,34.6
2,167.8,78.4,30.7,26.8,33.3,67.1,22,58,38.2
2,162.2,73.1,32.3,33.7,36.1,86.2,52,58.5,38.7
2,160.1,74.2,28.4,26.9,33,59.8,41,56,38.3
2,153.8,68.5,31.3,34.4,34.3,78.8,62,57.2,38.5
2,158.2,72.8,27.6,29.8,32.1,60.7,50,54,35.9
2,153.3,69.7,27.4,26.1,30.5,47,53,52.2,34.1
2,147.8,68.1,27.2,27.6,31.4,45.6,59,51,35.4
2,151,69.1,25.8,25.7,31,47.5,53,54,33.2
2,151.8,67.3,30.3,28.5,32.2,61.2,56,56,36.1
2,147.9,65.3,26.8,26.4,30.9,50.9,57,51,34.7
2,154.3,72.4,29.8,31.5,33.3,63.3,48,56,38.3
2,152.8,70.3,30.5,32.3,32.9,72.8,51,53.1,37.5
2,165,76.4,28.1,26.6,33.9,60.2,48,56.2,36.3
2,148.4,65.7,28.2,30.1,31.6,57.9,55,51.5,34.4
2,146.8,66.7,26.4,25.2,31.2,46,62,54.8,35.5
2,154.8,69.1,28,26.5,30.8,53.5,50,54.5,36.1
2,152.1,66.5,28.8,26.9,32.3,50.9,50,50.8,35
2,158.9,73.2,26.1,24.6,31.8,53.7,44,55,35.7
2,150.9,67.8,28,28,32.1,52,48,50.3,35.8
2,152.2,69.4,29.7,31.4,33.1,69.1,51,53.1,34.7
2,155.6,71.9,27.4,29,31.2,50.8,59,53,36.8
2,148.7,67.1,25.9,24.6,29,48.4,55,52,33.2
2,165.5,76.5,29.4,26.4,31.6,59.6,43,56.6,38.5
2,152.9,68.4,29,25.5,32.5,53.8,45,55.8,37.9
2,150,65.6,28,27.8,33.6,58.5,40,50.4,35
2,156.7,71.8,28.3,25.5,32.6,52.6,53,55.3,37.8
2,166.2,74.5,28.9,26.7,34.6,62.2,31,58,37
2,169.1,78,31.6,30.4,36.8,83.5,37,61,38.8
2,156,70.4,28.3,25.5,32.3,56.7,38,52.5,35.6
2,156.3,70.7,26.1,22.6,30.2,47.6,36,55.6,35.3
2,159.4,70.4,28.3,26.8,32.4,60.4,37,53.6,37.3
2,159.8,72.1,28.6,28.9,32.3,62.8,43,54.5,37.3
2,165.5,73.9,27.7,24,32.4,53.4,36,53.5,37.5
2,161.5,73.3,30,31.3,31.1,73.9,51,56.5,38
2,150.2,67,30.4,30.4,32.2,62.1,50,54.4,38.1
2,159.5,75.3,28.4,25.9,31.1,53,21,54.4,37.6
2,155.7,69.4,25.7,27.4,31.8,55.7,21,53.5,33.3
2,160.4,70.4,29.5,27.4,33.5,62,47,54.6,37.6
2,153.4,69,29.3,25.5,32.4,55.4,47,54,35.3
2,161.9,71.5,29.5,30.5,34.9,78,50,53.4,37.4
2,157.4,69.9,26.6,27.9,32.4,57,37,52.5,34.7
2,164.7,71.8,29.8,28.4,34.7,67.4,35,55.7,38.7
2,161.2,74.3,28.3,25.8,30.9,52.6,35,55.8,36.7
2,160.8,73.3,29.4,27.2,32.1,55,37,56.5,37
2,151.9,67.7,29.1,27.5,32,58.1,35,52,36.3
2,163.2,74.6,28.1,25.9,33.2,56.4,34,55.6,37
2,162.2,72.3,27.4,26,32.7,54.6,35,55,37.5
2,155.8,69.4,29.2,31.1,35.8,76.3,48,55.3,35.5
2,164.7,77.1,28.1,23.6,32,52.4,16,56.4,38
2,150.8,67.3,27.6,27.1,30.9,54.6,51,54.1,36.4
2,151.8,72.6,27.3,25,32.1,46.3,61,56.5,36.3
2,150.7,66.4,29.7,31.4,31.6,65.6,48,52.5,37.1
2,150.5,66.5,29.7,31.4,32.9,73.8,44,51.5,36.1
2,164,75.2,27.9,25.7,35,55,51,55.1,37.7
2,159.4,70.6,28.8,25.7,32.7,54.5,50,55,36
2,149.5,66.5,28.8,26.1,31.4,55.2,66,52.8,36.3
2,163,73.9,27.4,25,32.4,53.5,37,54.6,35.4
2,152.2,68,27.8,30.9,34.5,64.7,47,54,34
2,152.3,69.7,25.2,23.9,30.3,49.3,46,52.8,34.2
2,154.2,69,28.7,26.7,33.5,57.1,49,54.5,34.8
2,170.8,79.9,30,30.2,35,65.2,44,61,39.3
2,148.1,65.3,26,28.9,31.9,59.1,55,52.5,35.4
2,151,68,28.1,29.4,32.4,60.5,59,53.3,37.3
2,159,73.1,33.4,34.1,34.7,89.3,42,56.7,38.1
2,149,65.8,27.7,27.1,34.1,62.7,46,52,35.6
